mlbam_id,Name,Team,GS,IP,ER,R,ERA,ip_f,starter_id,handoffs,bq_runners,actual_bq,exp_re_emp,exp_re_pub,exp_sp_emp,exp_sp_pub,adjERA_re_emp,adjERA_re_pub,adjERA_sp_emp,adjERA_sp_pub,adjRA9_sp_emp,RA9,delta,delta_pct
543135,Nathan Eovaldi,Texas Rangers,22,130.0,25,28,1.73,130.0,543135,3,5,0,2.220816150119307,2.1919999999999997,2.284411943276195,2.26,1.8845180411621059,1.882523076923077,1.888920826842198,1.887230769230769,2.096613134534506,1.9384615384615385,0.158920826842198,0.09186174961976763
669432,Trevor Rogers,Baltimore Orioles,18,109.2,22,23,1.81,109.66666666666667,669432,5,7,1,1.83884434643352,1.896,1.9703414679051092,2.06,1.874312453962629,1.8790030395136779,1.8851040110438841,1.8924620060790271,1.967170880344796,1.8875379939209727,0.07510401104388409,0.04149392875352712
694973,Paul Skenes,Pittsburgh Pirates,32,187.2,41,45,1.97,187.66666666666663,694973,3,5,2,1.592737602954723,1.58,1.6525536645534762,1.65,1.9467209862873494,1.9461101243339256,1.9495896073586927,1.9494671403197161,2.141419092261002,2.1580817051509773,-0.020410392641307284,-0.010360605401678824
641816,Tyler Mahle,Texas Rangers,16,86.2,21,21,2.18,86.66666666666667,641816,5,10,3,2.8858417506946785,2.959,3.085173724264426,2.98,2.1689143356490628,2.1765115384615386,2.189614194442844,2.1786923076923075,2.189614194442844,2.1807692307692306,0.00961419444284406,0.0044101809370844305
669373,Tarik Skubal,Detroit Tigers,31,195.1,48,55,2.21,195.33333333333331,669373,8,14,4,2.8611546889611112,2.984,3.0739628617901165,3.06,2.1591317006859216,2.16479180887372,2.168936855406712,2.168293515358362,2.4914624526763367,2.5341296928327646,-0.04106314459328786,-0.018580608413252424
686613,Hunter Brown,Houston Astros,31,185.1,50,55,2.43,185.33333333333331,686613,6,10,1,2.9453583886916848,2.921,3.049393986615513,3.08,2.522526396573158,2.5213435251798564,2.5275784849615452,2.529064748201439,2.7703842403572287,2.6708633093525185,0.09757848496154509,0.040155755128207855
808967,Yoshinobu Yamamoto,Los Angeles Dodgers,30,173.2,48,53,2.49,173.66666666666663,808967,7,11,0,2.240214437742005,2.319,2.385021594620472,2.37,2.603619558193924,2.6077024952015364,2.6111239597979905,2.6103454894433784,2.8702410423315796,2.7466410748560466,0.12112395979799029,0.04864416056144188
650911,Cristopher Sánchez,Philadelphia Phillies,32,202.0,56,58,2.5,202.0,650911,8,12,5,3.7418607424375354,3.7560000000000002,3.8075291056295804,3.94,2.4389937954551377,2.4396237623762373,2.4419196136171597,2.4478217821782176,2.5310285245082484,2.5841584158415842,-0.0580803863828403,-0.023232154553136118
663460,Kris Bubic,Kansas City Royals,20,116.1,33,38,2.55,116.33333333333331,663460,5,5,0,1.0710744254096933,1.146,1.0967482237663442,1.2400000000000002,2.6358710873526126,2.641667621776505,2.6378573124403766,2.6489398280802297,3.0246767966810646,2.9398280802292267,0.08785731244037676,0.034453848015834024
519242,Chris Sale,Atlanta Braves,20,125.2,36,38,2.58,125.66666666666667,519242,9,15,3,4.732895500964821,4.733,4.913213142676551,4.82,2.702355911209682,2.702363395225464,2.715269906769939,2.7085941644562332,2.858505981040496,2.7214854111405833,0.13526990676993877,0.05243019642245689
